LCC,Yr.,Title
BX4705 .B3845 A3,1971,No Bars to Manhood
BX4705 .B3845 A3 1971,1971 P,No Bars to Manhood
BX4705 .B3845 B47 1985,1985 P,Steadfastness of the Saints: A Journal of Peace and War in Central and North America
BX4705 .B3845 S76,1971,Suspect Tenderness
BX4705 .B7295 H63 2004,2004 P,Disturbing the Peace: The Story of Father Roy Bourgeois…
BX4705 .D283 A36 1972,1972 P,On Pilgrimage: The Sixties
BX4705 .D283 M54,1982,Dorothy Day
BX4705 .G55114A3 1988,1988,"Faith, Sex, Mystery"
BX4705 .M542 A3 v2,1995,Entering the Silence: The Journals of Thomas Merton vol 2
BX4705 .M542 A32,1953,The Sign of Jonas
BX4705 .M542 P34,1979,In the Belly of a Paradox
BX4705 .N87 A34 1983,1983,Gracias
BX4705.B3845 B47 1985  ,1985,Steadfast
BX4705.P722 A5 1985,1985 P,Christ in a Poncho: Witnesses to the Nonviolent Struggles in Latin America
BX4801 .F45,1959,Classics of Protestantism
BX4807 .D5 1988,1988,Protestant Christianity: Interpreted through its development
BX4807 .D5 1988,1988,Protestant Christianity: Interpreted through its development
BX4810 .H42 S6,1935,Spirit and Truth
BX4810 .N5,1951,Primer for Protestants
BX4810 .W5,1955,The Protestant Tradition
BX4811 .B74,1961,The Spirit of Protestantism
BX4811 .D8,1961,Protestantism
BX4811 .F65,1960,The Prodestant Faith
BX4811 .F65 1960,1960,The Protestant Faith
BX4811 .F65 1960,1960,The Protestant Faith
BX4811 .T5,1965,Ultimate Concern: Tillich in Dialogue
BX4817 .H3,1963,The Faith to Doubt
BX4817 .S8,1962,A Private and Public Faith
BX4817 .T55 1957,1957,The Protestant Era
BX4818.3 .B7,1960,An American Dialogue
BX4825 .H8,1958,Ten Makers of Modern Prode
BX4827 .B3 B2613,1972,The Theology of Karl Barth
BX4827 .B3 H59 1986,1986,How Karl Barth Changed My Mind
BX4827 .B3 M8,1972,Karl Barth
BX4827 .B78 H4 1966,1966,Rudolf Bultmann
BX4827 .C68 A37,1973,The Seduction of the Spirit
BX4827 .N5 D3,,Reinhold Niebuhr: Prophet from America
BX4827 .N5 K4,1961,The Library of Living Theology: Volume 2 Reinhold Niebuhr
BX4827 .N5 L4,1975,The Legacy of Reinhold Niebuhr
BX4827 .T53 K4,1961,The Theology of Paul Tillich Vol.1
BX5133 .D6 S435 1958,1958,The Sermons of John Donne
BX5133 .D61 M8,1971,Donne's Prebend Sermons
BX5145 .A633 D3 1961,1947,Down Peacock's Feathers
BX5199 .L53 A42,1967,To An American Lady
BX5203.2,1985,The Dissenters: From the Reformation to the French Revolution
BX5700.6 .Z6 T874 1985,1985 P,Hope and Suffering
BX5875 .S8 1976,1976,Instead of Death
BX5875 .S8 1976,1976,Instead of Death
BX5928.5 .L8 L8,1972,Lutheran-Episcopal Dialogue
BX5940 .S4 1971,1971,Services for Trial Use
BX5943 .A1,,The Book of Common Prayer
BX5945 .S5,1950,American Prayer Book Commentary
BX597 .Z9 O732,1979,The Way of A Pilgrim
BX6 .W77 1975 .A2 J4,1975,Jesus Christ Frees and Unites
BX6.5 .B75 1969,1969,The Ecumenical Revolution
BX6333.C6 A3 1973,1973,Acres of Diamonds
BX6333.C6 A3 1973,1973,Acres of Diamonds
BX6393 .G6 2007,2007,God Created a People
BX6495 .C28 A33,1977,Brother to a Dragonfly
BX7233 .L485 S4,1906,Sermons Preached in England
BX7631.2 .J64,1971 P,On Doing Good: The Quaker Experiment
BX7731 .G8,1979,A Peculiar People
BX7748 .M92 1996,1996,Messengers of God: The Sensuous Side of Spirituality
BX7748 .S45 H47,1976,Towards a Quaker View of Sex
BX7756 .M475 I34 1976,1976 P,"Imperialism Without Invading Armies: Peace, Justice, and the Multinationals in Southeast Asia"
BX7796 .B87 1986,1986,"Light, Love and Life"
BX7821.2 .B87 1970,1970 P,Brethren and Pacifism
BX7821.2 .B87 1970,1970 P,Brethren and Pacifism
BX8 .V33,,World Christianity
BX8018 .B45,1967,The Church of the Lutheran Reformation
BX8063.7 .C3 P76 1989,1989,Promoting Unity
BX8066 .M49 H4,,Help is on the Way!
BX8066 .T46 C5,1962,Christ and the Meaning of Life
BX8066 .T46 S5,1962,The Silence of God
BX8066 .T46 U5313,1972,How to Believe Again
BX8068 .A3 1959,1959,The Augsburg Confession
BX8070 .E7813 1982,1982,Evangelical Catechism
BX8070 .L72 N4,1975,Free to Be
BX8070 .L8 P62 1900,,Explanation of Luther's Small Catechism
BX8071.2 .W4 1995,1996,We Are Witnesses
BX8074.P4 P43 1986,1986 P,Peace and the Just War Tradition: Lutheran Perspectives in the Nuclear Age
BX8080 .B645 A43,1962,Letters and Papers from Prision
BX8129.65 .A76,1994,Discipleship
BX830,1964,Letters from Vatican City
BX830 .L5,1965,Dialogue on the Way
BX830.1962 .A3 G3 1966a,1966,The Documents of Vatican II
BX8337 .B4,1976,Worship in the Methodist Tradition
BX860 .A36 1956,1956,The Papal Encyclicals
BX8695 .W547 A3,2000,Leap
BX8712 .A4 S67,1971,The Spiritual Life/The Word of God
BX8748 .T8,1971,Swedenborg: Life and Teaching
BX890 .T353 v1,1976,The Collected Works of St. Teresa of Avlia vol. 1
BX8901 .S6 v.71 no.2-3,1981,Church and Society vol. 71 no2-3
BX891 .B47 1968,1968 P,They Call Us Dead Men: Reflections on Life and Conscience
BX891 .B47 1968,1968,They Call us Dead Men
BX891 .M45 1985,1985,Disputed Questions
BX891 .R27,1967,The Christian of the Future
BX8956 .U54 pt.1,1970,The Book of Confessions
BX9.5 .S2 B36 1982,1982,Baptism Eucharist and Ministry
BX9178 .M363 M5 1950,1950,"Mr. Jones, Meet the Master"
BX9178 .R56 G7,1955,The Grandeur and Misery of Man
BX9183 .H57,1901,A Commentary on the Confession of Faith
BX9185 .A4 1946,1946,The Book of Common Worship
BX9223 .M17 1948,1948,John Knox
BX9225 .B7617 A4,1980,Creative Dislocation
BX9225 .B768 A3,1999,The Eyes of the Heart
BX9334 .H3 1957,1957,The Rise of Puritanism
BX9410 .B323,1960,"Community, State and Church"
BX9418 .B715,1988,John Calvin: A Sixteenth Century Portrait
BX9418 .N53,1956,The Theology of Calvin
BX9418 .P36,1954,Portrait of Calvin
BX9420 .I65 1960 pt.1,1960,Calvin: Institutes of the Christian Religion 1
BX9420 .I65 1960 pt.2,1960,Calvin: Institutes of the Christian Religion 2
BX9420 .T68,1954,Calvin: Theological Treatises
BX9426.A1 B3,1933,Come Holy Spirit
BX9439 .M34 A32,1966,If God Does Not Die
BX9843 .A1 T5,1961,"Three Prophets of Religious Liberalism: Channing, Emerson, Parker"
BX9869 .S4 B3 1960,1960,"Hunted Heretic: The Life and Death of Michael Serventus, 1511-1553"
CB151 .H813,1960,Homo Ludens
CB151 .M25,1964,The Broken Image
CB155 .T7,1971 H,Civilization & Progress
CB155.A69 1968,1987,Between Past and Future
CB161 .T48,1978 P,Darkness and Scattered Light
CB19 .B69,1971,Life Against Death
CB19 .E38,1970 P,The Invisible Pyramid: A Naturalist Analyses the Rocket Century
CB19 .F84 1981,1981 P,Critical Path
CB19 .Q56 1999,1999 H,Beyond Civilization: Humanity's Next Great Adventure
CB19 .R47 1985,1985 P,Fellow Teachers/of Culture and Its Second Death
CB245 .B365 2000,2000,From Dawn to Decadence
CB245 .B86 1973,1968,Study Guide for the Eighth Edition of Burns Western Civilizations
CB245 .D65 v.1,1967,The Intellectual Tradition of the West: Readings in the History of Ideas volume 1: Hesiod to Calvin
CB245 .D65 v.2,1967,The Intellectual Tradition of the West: Readings in the History of Ideas volume 2: Copernicus to Kafka
CB245 .D67 1958,1958 P,Books That Changed the World
CB245 .E39 1966,1966 P,The Western Heritage to 1500
CB245 .E39 1996,1966,Study Guide for Easton: The Western Heritage
CB245 .H85 1997a,1997 O,"The Humanities, Vol. I"
CB245 .H85 1997b,1997 O,"The Humanities, Vol. II"
CB245 .K28 1998,1998 H,The Western Heritage: Since 1300
CB245 .K28 1998 v.1,1998 P,"The Western Heritage, Vol. I: To 1715"
CB245 .L47 1973,1973 O,Study Guide for Burns Western Civilizations (6th Edition)
CB245 .P42 1993,1993 P,"Western Civilization: A Brief History, Vol. I: To 1789"
CB245 .S567 2003 v.2,2003,The Social Dimenstion of Western Civilization vol 2
CB245 .S75,1967 P,"The Rise and Development of Western Civilization, Part I: Beginnings to 1500"
CB245 .W4843 1998a,1998 P,"Western Civilization: The Continuing Experiment, Vol. I: To 1715"
CB245 .W4843 1998b,1998 P,"Western Civilization: The Continuing Experiment, Vol. II: Since 1560"
CB311 .C5 1951,1951 P,Man Makes Himself
CB311 .C54 1952,1952 P,What Happened in History
CB311 .N3 1961,1961 H,Everyday Life in Ancient Times
CB353 .D3 1956,1956 P,The Making of Europe: An Introduction to the History of European Unity
CB357 .B7 1967,1967 H,Modern Civilization: A History of the Last Five Centuries
CB359 .H5,1971,Men and Ideas in the Sixteenth Century
CB425 .B668,1964,The Meaning of the 20th Century
CB425 .B668,1964 P,The Meaning of the 20th Century: The Great Transition
CB425 .H24 1967,1967 P,The Accidental Century
CB425 .O35 1970,1970 P,Prophetic Voices: Ideas and Words on Revolution
CB425 .S45,1965,Tangled World
CB427 .L413,1971,Everyday Life in the Modern World
CB427 .R8 1973,1973,Directives for New Life
CB428 .F84,1981,Critical Path
CB428 .F85 1981,1981 H,Critical Path
CB428 .H44 1975,1975 P,An Inquiry into the Human Prospect
CB428 .R67,1973 P,Where the Wasteland Ends: Politics and Transcendence in Postindustrial Society
CB428 .S59,1974,Earthwalk
CB428 .T46 1976,1976 H,Evil and World Order
CB428 .T47 1973,1973 P,Passages About Earth: An Exploration of the New Planetary Culture
CB430 .G6 1977,1977,Goals for Mankind
CB430 .K64,1990,Modernity on Endless Trial
CB430 .L54 1987,1987,The Future of Immortality
CB430 .R63 1987,1987 P,A World Without Heroes: The Modern Tragedy
CB430 .R67,1972 P,Sources: An Anthology of Contemporary Materials Useful for Preserving Personal Sanity While Braving the Great Technological Wilderness!
CB463 .G197830,1978 P,Goals for Mankind: A Report to the Club of Rome on the New Horizons of Global Community
CB478 .H34,1971 P,Plenty and Trouble: The Impact of Technology on People
CB478 .M78 1970,1970 H,The Myth of the Machine: The Pentagon of Power
CB5 .B43 1966,1966,Heritage of Western Civilization
CB5 .D52 1073,1973 P,Dictionary of the History of Ideas: Volumes I-IV/Index (Box Set)
CB53 .D85 pt 9,1965,The Story of Civilization Part IX: The Age of Voltaire
CB53 .D85 pt.1,1954,The Story of Civilization Part I: Our Oriental Heritage
CB53 .D85 pt.2,1939,The Story of Civilization Part II: The Life of Greece
CB53 .D85 pt.3,1944,The Story of Civilization Part III: Caesar and Christ a History of Roman Civilization and of Christianity from their beginnings to A.D. 325
CB53 .D85 pt.4,1950,"The Story of Civilization Part IV: The Age of Faith a History of Medieval Civilization - Christian, Islamic, and Judiac - from Constantine to Dante: A.D. 325 - 1300"
CB53 .D85 pt.5,1953,The Story of Civilization Part V: the Renaissance a History of Civilization in Italy from 1304-1576 A.D.
CB53 .D85 pt.6,1957,The Story of Civilization Part VI: The Reformation
CB53 .D85 pt.8,1963,The Story of Civilization Part VIII: The Age of Louis XIV
CB53 .D85 v 7,1961,The Story of Civilization: The Age of Reason Begins
CB53 .D85 v. 10,1961,The Story of Civilization: Rousseau and Revolution
CB53 .W5 1967,1967 P,Adventures of Ideas
CB57 .B8 1966,1963 O,Study Guide for Burns Western Civilizations (8th Edition)
CB57 .B8 1966,1963 O,Study Guide for Burns Western Civilizations (8th Edition)
CB57 .B8.1 1969,1969 O,"Study Guide for Burns and Ralph World Civilizations, Vol. I"
CB57 .B8.1 1969,1969 O,"Study Guide for Burns and Ralph World Civilizations, Vol. I"
CB57 .B8.2 1969,1969 O,"Study Guide for Burns and Ralph World Civilizations, Vol. II"
CB57 .B8.2 1969,1969 O,"Study Guide for Burns and Ralph World Civilizations, Vol. II"
CB57 .B8.3 1973,1973 O,Study Guide for Burns Western Civilizations (6th Edition)
CB57 .B8.3 1973,1973 O,Study Guide for Burns Western Civilizations (6th Edition)
CB57 .W33,1949 H,"Civilization: Past and Present, Vol. II"
CB59 .B8 1969,1969,Instructor's Manual for Burns and Ralph World Civilizations
CB59 .J83,1996 P,Readings in The History of Civilization
CB59 .S25,1969,The Humanities Handbook
CB63 .T64 1956,1956 H,A Study of History (Abridgement of Volumes I-VI)
CB63 .T64 1956,1956 H,A Study of History (Abridgement of Volumes I-VI)
CB63 .T64 1957,1957 H,A Study of History (Abridgement of Volumes VII-X)
CB63 .T64 1957,1957 H,A Study of History (Abridgement of Volumes VII-X)
CB69 .H86 1987 v.1,1987,The Human Perspective: Readings in World Civilization Volume 1
CB7 .L4,1959,Freedom and Culture
CC75 .A74 1995,1995,Discovering Our Past: A Brief Introduction to Archaeology
CR113 .U54,,Your Flag
CT103 .W4 1943,1943 H,Websters Biographical Dictionary
CT104 .T535,1935,The Story of the Human Race
CT1097 .B44 T47 1990,1990,Three Behaim Boys
CT1098 .S411 W42 2005,2005,Reverence for ALL Life
CT1098 .S45 A63,1955,The World of Albert Schweitzer
CT1203 .M37 1997,1997,Who's Who in Russia Since 1900
CT3203 .A67,1956,It All Started with Eve
D104 .R633 1968,1968 P,The Idea of Europe
D1055 .R633 1965,1965,The Meaning of Europe
D117 .G54 1952,1952,The World of Humanism
D119 .P7 W2,1964,Ways of Medieval Life and Thought
D127 .S68,1955,Western Europe in the Middle Ages
D13 .B32 1962,1962,A History of Historical Writing
D13 .C54 1953,1953 P,What is History?
D13 .C6 1956,1956 P,The Idea of History
D13 .G75,1951,Understanding History
D13 .M65 1968,1968 H,The Shape of the Past: History in Christian Perspective Volume 1
D13 .P36,1980,The Past Before Us
D13 .W566,1987,Tropics of Discourse
D13. S82 1973,1973,The Varieties of History
D13.2 .G4,1968,Debates with Historians
D148 .H3,1943,The Normans in European History
D16 .D33,1959,The Movement of World Revolution
D16.2 .C32,1967,How to Study History
D16.2 .C719,1966,The Study of History
D16.8 .A723,1962,Introduction to the Philosophy of History
D16.8 .B27 1963,1963 P,Culture and History: Prolegomena to the Comparative Study of Civilizations
D16.8 .D65,1965 P,Philosophy of History
D16.8 .D7,1964,Philosophy of History
D16.8 .D7,1964 P,Philosophy of History
D16.8 .D84,1968 H,The Lessons of History
D16.8 .F85 1992,1992,The End of History and the Last Man
D16.8 .G27,1964,Philosophy and the Historical Understanding
D16.8 .G533,2002,History and Historians
D16.8 .H462,1953,Reason in History
D16.8 .H625,1965,Studies in the Philosophy of History
D16.8 .M63,1959 P,The Philosophy of History in Our Time: An Anthology
D16.8 .P45,1963,Philosophy and History
D16.8 .P57 1964,1964 P,The Poverty of Histo-Racism
D16.8 .R842,1958 P,Between Past and Present: An Essay on History
D16.8 .W28,1960 P,Philosophy of History
D16.9 .E787,1984,The Transcendence of History
D16.9 .L64,1949,Meaning in History
D16.9 .N5 1949,1949,Faith and History
D161.2 .A77 2004,2004,The First Crusade
D20 .R65,2007,The New Penguin History of the World
D200 .H413 1962,1962,The Medieval World
D208 .N4 1960,1960 H,"The New Cambridge Modern History, Vol. XII: The Era of Violence, 1898-1945"
D209 .P26 1957,1957 H,A History of the Modern World
D21 .B95,1970,Man in Western Civilization
D21 .G28,1972,The Columbia History of the World
D21 .L27 1948,1948 H,"An Encyclopedia of World History: Ancient, Medieval, and Modern, Chronologically Arranged"
D21 .M32 1975,1975 P,A World History
D21 .W4 1961,1961 H,The Outline of History: The Whole Story of Man
D210 .T83 1958,1958,Protestantism and Progress
D25.5 .K27 1995,1995 P,On the Origins of War and the Preservation of Peace
D299 .H6,1962,The Age of Revolution: 1789-1848
D309 .S65,1976,Varieties of Nationalism
D358 .H56,1984,The Age of Capital: 1848-1875
D371 .M37,1969,The Eastern Question
D410 .F6 v.68 no.1,1989 P,America and the World 1988/89
D410 .F6 v.70 no.1,1991 P,America and the World 1990/91
D410 .F6 v.70 no.1,1991 P,America and the World 1990/91
D421 .B35 1967,1967 P,An Introduction to Contemporary History
D421 .S677,2001,Why Nations go to War
D421 .S677 1982,1982 P,Why Nations Go to War
D427 .M34,1967,The Contemporary World
D515 .A59,1917 H,Shirking the Issue: A Letter to Dr. George Brandes
D521 .G57 1994,1994,The First World War
D525 .W53,1915,The Pentecost of Calamity
D57 .E37,1955 H,The Heritage of the Past: From the Earliest Times to the Close of the Middle Ages
D59 .H64 1967,1967 P,Roots of the Western Tradition: A Short History of the Ancient World
D6 .G35,1975,Historians at Work Volume Four: Dilthey to Hofstadter
D6 .M3,1921 H,The Evolution of World-Peace
D60 .F53,1977,Aspects of Antiquity
D613 .B85 1918,1918 H,The Basis of Durable Peace
D613 .C7,1917,The Basis of Durable Peace
D644 .M32,2003,Paris 1919
D644 .M32 2002,2002 P,Paris 1919: Six Months That Changed the World
D65 .C5 P9,1958,The Prehistory of European Society
D7 .H823,1984,Men and Ideas
D7 .K8,1955 H,History and the Social Web: A Collection of Essays
D741 .H58 v2,1948,War and Peace Aims of the United Nations
D749 .B4841 1999,1999,Pius XII and the Second World War
D753 .M42 2003,2003 H,Franklin and Winston: An Intimate Portrait of an Epic Friendship
D764.3 .L4 S2,1969 H,The 900 Days: The Siege of Leningrad
D767.25 .H6 H4 1946,1946 H,Hiroshima
D769.8 .A6 D37 1993,1993,Prisoners Without Trial
D773 .H47,1966 P,Of Men and War
D802 .D4 L35,1957 P,The Danish Resistance: A History of Five Years of Secret Warfare Against the Nazi Occupation
D802 .F8 B8613,1995,France under the Germans
D804 .348 .L33,1998,History and Memory after Auschwitz
D804 .G4 B765,1998,Official Secrets
D804 .G4 J55 1999,1999,"Nazi Terror: The Gestapo, Jews, and Ordinary Germans"
D804 .G4 M8,1961,The Eichmann Kommandos
D804 .G4 V4813,1996,"The German Army and Genocide: Crimes Against War Prisoners, Jew, and Other Civilians, 1939-1944"
D804.3 .A98 1995,1995,Parallel Journeys
D804.3 .B36,1989,Legacy of Silence: Encounters with Children of the Third Reich
D804.3 .B45413,1999,The Holocaust: A German Historian Examines the Genocide
D804.3 .B68,2000,A History of the Holocaust
D804.3 .B77,1992,Ordinary Men
D804.3 .D87,2002,Holocaust: A History
D804.3 .E48,1994,Ending Auschwitz
D804.3 .F45,1995,Bearing Witness: How America and its Jews Responded to the Holocaust
D804.3 .G54,1997,Holocaust Journey
D804.3 .H56,1992,"Perpetrators, Victims Bystanders"
D804.3 .H647,1991,The Holocaust in University Teaching
D804.3 .H648,1997,The Holocaust
D804.3 .H649,1989,Holocaust: Religious and Philosophical Implications
D804.3 .K378 v.1,1994,The Holocaust in Historical Context vol 1
D804.3 .L4813,1989,The Drowned and the Saved
D804.3 .L48413,1993,The Reawakening
D804.3 .M37,1989,The Holocaust in History
D804.3 .M39,1990,Why Did the Heavens not Darken?
D804.3 .M57 1998,1998,A Mirror to the Distorted Nazi Value System
D804.3 .P77,1999,Problems Unique to the Holocaust
D804.3 .R64,2002,Smoke and Ashes: The Story of the Holocaust
D804.3 .R93 1997,1997,The Myth of Rescue
D804.3 .S3613,1988,"""The Good Old Days"""
D804.3 .S44513,2000,The Seventh Million: The Israelis and the Holocaust
D804.3 .S585,1992,The Book of the Just
D804.3 .S585 1992,1992 H,The Book of the Just
D804.3 .T6313,1996,Facing the Extreme
D804.3 .V5313,1992,Assassins of Memory
D804.3 .W3947,1995,The Holocaust Museum in Washington
D804.3 .Y3413,1990,The Holocaust: The Fate of European Jewry
D804.3 A78,1995,Art from the Ashes
D804.33 .N49,1996,New Perspectives on the Holocaust
D804.33 .P58 1993,1993,Deathly Silence: Ordinary People During the Holocaust
D804.348 .B39,2001,Rethinking the Holocaust
D804.35 .L57,1993,Denying the Holocaust: The Growin Assault on Truth and Memory
D804.44 .W67 1996,1996,The World Reacts to the Holocause
D804.7 .M67 R68,2007,Ethics During and After the Holocaust
D804.A1453 .H649 1989,1989 P,Holocaust: Religious & Political Implications
D805 .J3 G55,1975,Shantung Compound
D805 .P7 D41613 1995,1995,Auschwitz and After
D805 .P7 L4413,1993,Survival in Auschwitz
D805 .P7 R33,1995,Escape from Sobibor
D805.5 .C33 S54 2002,2002 O,"Signs of Life: Lebenszeichen: The Correspondence of German POWs at Camp Algona, IA 1943-46"
